코드,업체명,제품명,단위,수리일자,약효분류,적응증,축종명칭
100400-A-0001,나노네이처펫,브라이트 비기닝 내츄럴 펫 샴푸,L,2020-06-24,KC20100B131,세척용샴푸,개/강아지/고양이
100119-A-0078,피엘코스메틱,댄싱 펫 트룰리 내츄럴 샴푸,L,2020-06-23,KC20100B121,세척용샴푸,개/강아지
100369-A-0006,포피포유,세이프티어파우더,KG,2020-06-23,KC60300A131,눈주위세척제,개/강아지/고양이
100369-A-0007,포피포유,세이프어스이어클리너,L,2020-06-23,KC60100B131,귀세척제,개/강아지/고양이
100369-A-0008,포피포유,발사탕 밤,KG,2020-06-23,KC90001A131,애완동물용보습제,개/강아지/고양이
100095-A-0228,크린피스,브리더 라벤더 탈취제,L,2020-06-22,KC80003B131,애완동물악취제거제,개/강아지/고양이
100095-A-0229,크린피스,브리더 비누향 탈취제,L,2020-06-22,KC80003B131,애완동물악취제거제,개/강아지/고양이
100095-A-0230,크린피스,브리더 베이비파우더 탈취제,L,2020-06-22,KC80003B131,애완동물악취제거제,개/강아지/고양이
100239-A-0096,동방코스메틱,엘 아미고 아웃도어 미스트,KG,2020-06-22,KC90001B121,애완동물용보습제,개/강아지
100023-A-0020,한풍산업,마인솔,L,2020-06-17,HB83001B151,비타민 A/D3/E,닭/산란계/돼지/젖소/소
100023-A-0021,한풍산업,마인솔 골드,L,2020-06-17,HB83001B141,비타민 A/D3/E,닭/돼지/소/젖소/산란계
100023-A-0022,한풍산업,마인솔C,L,2020-06-17,HB84003B151,비타민 A/D3/E/C,닭/산란계/돼지/젖소/소
100216-A-0044,리틀엠페러,소황제 타나카 파우더,KG,2020-06-16,KC90001A111,애완동물용보습제,개
200391-A-0001,엘오케이,커들리-코트 클렌징 스프리츠,L,2020-06-15,KC20100B132,세척용샴푸,개/강아지/고양이
200391-A-0002,엘오케이,커들리-코트 그루밍 컨디셔너,L,2020-06-15,KC20300B132,린스,개/강아지/고양이
200391-A-0003,엘오케이,커들리-코트 그루밍 샴푸,L,2020-06-15,KC20100B132,세척용샴푸,개/강아지/고양이
200022-A-1253,한국동물약품공업협동조합,"디메치케어 스파이더 라인온 (개, 고양이용)",L,2020-06-12,KC90001B122,애완동물용보습제,개/고양이
200022-A-1254,한국동물약품공업협동조합,디메치케어 스파이더 스프레이 도그앤캣,L,2020-06-12,KC90001B122,애완동물용보습제,개/고양이
200022-A-1255,한국동물약품공업협동조합,퓨어앤네츄럴펫 덴탈 젤,KG,2020-06-12,KC12001B132,치약,개/강아지/고양이
200022-A-1256,한국동물약품공업협동조합,퓨어앤네츄럴펫 덴탈 스프레이,KG,2020-06-12,KC10001B132,구중청량제,개/강아지/고양이
200022-A-1257,한국동물약품공업협동조합,퓨어앤네츄럴펫 스프레이 컨디셔너,KG,2020-06-12,KC90001B132,애완동물용보습제,개/강아지/고양이
200022-A-1258,한국동물약품공업협동조합,퓨어앤네츄럴펫 투인원 그레인프리 오가닉 샴푸 앤 컨디셔너,KG,2020-06-12,KC20100B132,세척용샴푸,개/강아지/고양이
100179-A-0034,두리화장품,알프레독 샴푸 무향,L,2020-06-11,KC20100B131,세척용샴푸,강아지/개/고양이
100179-A-0026,두리화장품,두리케어 알프레독 스무스 샴푸,L,2020-06-10,KC20100B131,세척용샴푸,개/고양이/강아지
100179-A-0027,두리화장품,포우장 차르르 미스트,L,2020-06-10,KC90001B131,애완동물용보습제,개/강아지/고양이
100179-A-0028,두리화장품,알프레독 샴푸 비누향,L,2020-06-10,KC20100B131,세척용샴푸,개/강아지/고양이
100179-A-0029,두리화장품,알프레독 샴푸 베이비파우더향,L,2020-06-10,KC20100B131,세척용샴푸,개/강아지/고양이
100179-A-0030,두리화장품,두리케어 알프레독 실키 샴푸,L,2020-06-10,KC20100B131,세척용샴푸,개/강아지/고양이
100179-A-0031,두리화장품,두리케어 펫앤어스 버블 풋클렌저,L,2020-06-10,KC20100B131,세척용샴푸,개/강아지/고양이
100179-A-0032,두리화장품,두리케어 알프레독 애견 탈취제 플로럴향,L,2020-06-10,KC80003B121,애완동물악취제거제,개/강아지
100179-A-0033,두리화장품,두리케어 알프레독 귀세정제,L,2020-06-10,KC60100F131,귀세척제,개/강아지/고양이
100183-A-0099,대주바이오,엔식스 아쿠아 펫 미스트,KG,2020-06-10,KC90001B131,애완동물용보습제,개/강아지/고양이
100392-A-0003,케이엔델,순수자아 퓨어몽 펫 샴푸,KG,2020-06-10,KC20100B131,세척용샴푸,개/강아지/고양이
200390-A-0001,영창티아이더블유,후레쉬 웨이브 프리미엄 애견 샴푸,L,2020-06-10,KC20100B112,세척용샴푸,개
100025-A-0027,한동,헤파솔루션,L,2020-06-09,HZ22901B211,기타영양공급약,닭
100239-A-0093,동방코스메틱,아인솝 실키모이스쳐샴푸,L,2020-06-09,KC20100B121,세척용샴푸,개/고양이
100239-A-0094,동방코스메틱,아인솝 카밍릴리프샴푸,L,2020-06-09,KC20100B121,세척용샴푸,개/고양이
100239-A-0095,동방코스메틱,댕댕이 스웩 컬러체인저(핑크),L,2020-06-09,KC50100L121,염모제,개/강아지
100090-A-0231,서울화장품,제주 유채꿀 펫 샴푸,L,2020-05-29,KC20100B121,세척용샴푸,개/강아지
100090-A-0232,서울화장품,페스룸 버블 샴푸 독스,L,2020-05-29,KC20100B121,세척용샴푸,개/강아지
100114-A-0308,로쎄앙,산책세이프가드,L,2020-05-28,KC80003B121,애완동물악취제거제,개/강아지
100114-A-0309,로쎄앙,원더펫 티어 클리너,L,2020-05-28,KC60300B121,눈주위세척제,개/강아지
100239-A-0092,동방코스메틱,독키호테 펫 올인원 수딩 크림,KG,2020-05-28,KC90001B131,애완동물용보습제,개/강아지/고양이
100387-A-0002,저스트파이브세컨즈,슈룹비비스프레이,L,2020-05-28,KC90001B121,애완동물용보습제,개/고양이
100402-A-0001,비앤비코리아,마더스펫마일드에이지프리샴푸,L,2020-05-28,KC20100B131,세척용샴푸,개/강아지/고양이
100006-A-0058,고려비엔피,이뮨업플러스(수출용),KG,2020-05-27,DZ40004A131,효모+효소+광물질+전해질,소/돼지/닭
100216-A-0043,리틀엠페러,소황제 타나카 워터,L,2020-05-27,KC90001B111,애완동물용보습제,개
100225-A-0039,독샤워,리본 테라피 에센스,KG,2020-05-27,KC90001B131,애완동물용보습제,개/강아지/고양이
100359-A-0024,한국애견용품연구소,냥치멍치,KG,2020-05-27,KC12001B131,치약,개/강아지/고양이
100359-A-0025,한국애견용품연구소,이뮤덤 비듬샴푸린스,KG,2020-05-27,KC20300B131,린스,개/강아지/고양이
100236-A-0024,영진,티니버디 워터리스 버블 샴푸,L,2020-05-26,KC20100B121,세척용샴푸,개/강아지
100236-A-0025,영진,버디워시 롱 샴푸,L,2020-05-26,KC20100B121,세척용샴푸,개/강아지
100236-A-0026,영진,티니버디 스파쿨링 탄산스파,KG,2020-05-26,KC90001A121,애완동물용보습제,개/강아지
100236-A-0027,영진,버디워시 민감 샴푸,L,2020-05-26,KC20100B121,세척용샴푸,개/강아지
100239-A-0090,동방코스메틱,킵아웃 바디쉴드 스프레이,L,2020-05-26,KC90001B121,애완동물용보습제,개/강아지
100239-A-0091,동방코스메틱,독키호테펫덴탈잼,KG,2020-05-26,KC12001B131,치약,개/강아지/고양이
100002-A-0032,우성양행,리버타임 산,KG,2020-05-22,HC19101A111,글루타치온,어류
100031-A-0025,제일바이오,제일 비타미네랄,KG,2020-05-22,HZ12201A121,광물질공급약,젖소/돼지
100096-A-0014,씨티씨바이오,카르틴액,L,2020-05-22,HB12185B141,카르니틴,소/돼지/닭/염소/면양
100139-A-0128,솔레오코스메틱,쿤달 네이처 피에이치 밸런싱 실키 코트 애견 샴푸 핑크레인,L,2020-05-22,KC20100B131,세척용샴푸,개/강아지/고양이
100139-A-0129,솔레오코스메틱,쿤달 네이처 피에이치 밸런싱 실키 코트 애견 샴푸 화이트런더리,L,2020-05-22,KC20100B131,세척용샴푸,개/강아지/고양이
100139-A-0130,솔레오코스메틱,쿤달 네이처 피에이치 밸런싱 실키 코트 애견 샴푸 소프트블루솝,L,2020-05-22,KC20100B131,세척용샴푸,개/강아지/고양이
100179-A-0025,두리화장품,멍멍팔팔샴푸,L,2020-05-22,KC20100B131,세척용샴푸,개/강아지/고양이
100227-A-0004,엠케이생명과학,엠케이 트리바이오,KG,2020-05-22,DA29301A131,간균+유산균+효모,소/돼지/닭
100347-A-0001,에프에이,펫케어 카밍 에센스,L,2020-05-22,KC90001B131,애완동물용보습제,개/강아지/고양이
100347-A-0002,에프에이,펫케어 카밍 미스트,L,2020-05-22,KC90001B131,애완동물용보습제,개/강아지/고양이
100399-A-0001,씨앤텍,마이펫샴푸,L,2020-05-22,KC20100B121,세척용샴푸,개/강아지
100024-A-0078,다원케미칼,씨비-원(엠) 산,KG,2020-04-28,HZ12201A131,광물질공급약,소/돼지/닭
100114-A-0306,로쎄앙,플라고 덴탈 워터,L,2020-04-28,KC12001B131,치약,개/강아지/고양이
100114-A-0307,로쎄앙,발샴푸 멀티 미스트,L,2020-04-28,KC90001B121,애완동물용보습제,개/강아지
100183-A-0098,대주바이오,탐사 실키 리페어 강아지 샴푸,L,2020-04-28,KC20100B131,세척용샴푸,강아지/개/고양이
100222-A-0072,그린코스,워터앤큐어 샴푸,KG,2020-04-28,KC20100B131,세척용샴푸,개/강아지/고양이
100222-A-0073,그린코스,펫헬스크린 더마 미스트,L,2020-04-28,KC90001B131,애완동물용보습제,개/강아지/고양이
100236-A-0022,영진,꽃개 워터리스 샴푸,L,2020-04-28,KC20100B121,세척용샴푸,개/강아지
100236-A-0023,영진,꽃개 아로마 탄산스파 트리트먼트,KG,2020-04-28,KC20300A121,린스,개/강아지
100239-A-0087,동방코스메틱,포하드,KG,2020-04-28,KC90001B131,애완동물용보습제,개/강아지/고양이
100239-A-0088,동방코스메틱,펫제로미스트,L,2020-04-28,KC80003B131,애완동물악취제거제,개/강아지/고양이
100239-A-0089,동방코스메틱,원헬스반려동물치약,KG,2020-04-28,KC12001131,치약,개/강아지/고양이
100349-A-0032,펫헬스케어센터,마라피키 케어 세이프,L,2020-04-28,KC90001B111,애완동물용보습제,개
100359-A-0023,한국애견용품연구소,애니멀랩 덴탈워터,L,2020-04-28,KC12001B131,치약,개/강아지/고양이
100023-A-0019,한풍산업,밸런스라이트,L,2020-04-22,HZ11001B151,전해질교정약,소/돼지/닭/개/가금
100239-A-0086,동방코스메틱,독키호테 펫 시카크림,KG,2020-04-22,KC90001G131,애완동물용보습제,개/강아지/고양이
100090-A-0228,서울화장품,하이포닉 프로 샴푸(클린앤볼류마이징),L,2020-04-20,KC20100B131,세척용샴푸,개/강아지/고양이
100090-A-0229,서울화장품,닥터 프렌시아 시어버터 워터리스 풋샴푸,L,2020-04-20,KC20100B131,세척용샴푸,개/강아지/고양이
100218-A-0044,가인화장품,닥터라이독스테틱네이처테라피샴푸,L,2020-04-20,KC20100B121,세척용샴푸,개/강아지
100218-A-0045,가인화장품,닥터라이캣스테틱네이처테라피샴푸,L,2020-04-20,KC20100B111,세척용샴푸,고양이
