27,DMDM Hydantoin,"['415', '555', '621', '721', '1010', '1115', '2505', '5936', '6200', '6536', '8091', '8166', '8266', '11900', '19378', '19805', '19866', '20145', '20215', '20655', '21166', '22510', '23178', '23421', '25810', '28301', '34800', '34945', '35028', '38406', '38536', '38601', '38706', '38901', '39001', '39103', '5766', '5821', '5915', '6055', '6166', '6355', '78845', '79021', '79178', '81200', '81300', '83915', '84121', '84236', '84928', '85628', '98400', '101228', '101555', '101836', '102528', '102655', '102855', '103020', '6555', '6621', '6721', '7115', '11936', '12200', '12536', '14166', '14266', '17900', '25378', '25805', '25866', '26145', '26215', '26655', '27166', '28510', '29178', '29421', '34301', '39701', '40800', '40945', '44406', '44536', '44601', '44706', '44901', '45001', '45103']"
28,Deionized water,"['500', '700', '1100', '1200', '1300', '1400', '1500', '1600', '1700', '2200', '2800', '3100', '9506', '12800', '13000', '13100', '13200', '13300', '13400', '13500', '13800', '13900', '14000', '14100', '14200', '14300', '14400', '14500', '14600', '14700', '14800', '14900', '15000', '29236', '29328', '29428', '29515', '29615', '29845', '29955', '30055', '30155', '30236', '30328', '30466', '30515', '30615', '31645', '38455', '38636', '38636', '38755', '38866', '38945', '39036', '39155', '44745', '60200', '65110', '73110', '74106', '69355', '96745', '96800', '97603', '97755', '97800', '100110', '6500', '6700', '7100', '7200', '7300', '7400', '7500', '7600', '7700', '8200', '8800', '9100', '19100', '19200', '19300', '19400', '19500', '19900', '20000', '20100', '20200', '20300', '20400', '20500', '20600', '20700', '20800', '21000', '66200']"
29,Sodium lauryl sulfate,"['501', '1001', '2403', '6203', '6303', '6403', '6603', '11903', '12100', '12200', '12315', '13815', '15101', '19401', '20300', '22200', '22921', '23001', '23500', '23600', '23800', '23906', '24315', '24403', '24503', '24706', '26906', '27003', '27700', '27800', '27900', '28100', '28200', '28300', '31106', '31206', '31306', '33700', '33800', '33900', '34000', '34506', '34803', '35601', '35901', '36800', '36900', '37000', '38555', '38603', '38821', '38906', '39003', '39110', '41700', '41900', '42700', '42800', '43000', '43300', '48800', '49100', '49200', '49300', '49400', '50800', '53700', '53900', '54000', '56700', '57300', '58700', '58800', '60900', '61006', '62300', '62800', '73101', '74500', '79100', '79301', '81203', '81303', '81806', '81906', '82006', '82106', '82206', '84501', '84600', '84701', '86201', '86401', '86501', '86601', '86701', '87001', '87701', '89301', '89401', '89501', '89601', '89701', '89801', '89901', '90100', '90801', '91401', '92400', '95100', '95300', '96201', '97621', '98401', '100655', '101301', '101910', '103101', '6201', '6501', '7001', '8403', '12203', '12303', '12403', '12603', '17903', '18100', '18200', '18315', '21101', '25401', '26300', '28200', '28921', '29001', '29500', '29600', '29800', '29906', '30315', '30403', '30503', '30706', '32906', '33003', '33700', '33800', '33900', '34100', '34200', '34300', '37106', '37206', '37306', '39703', '39800', '39900', '40000', '40506', '40803', '41601', '41901', '42800', '42900', '43000', '44555', '44603', '44821', '44906', '45003', '45110', '47700', '47900', '48700', '48800', '49000', '49300', '54800', '55100', '55200', '55300', '55400', '56800', '59700', '59900', '60000', '62700', '63300', '64700', '64800', '66900', '67006', '68300', '68800', '79101', '80500']"
30,Sodium Laureth Sulfate,"['503', '1701', '1803', '2001', '2921', '3200', '6301', '6401', '6601', '9701', '10001', '10803', '10903', '11003', '11103', '11203', '11303', '11403', '12815', '13101', '13315', '13415', '14001', '14215', '14401', '14501', '14715', '14901', '17401', '19400', '19600', '20000', '20500', '21000', '21601', '23000', '23200', '23300', '28901', '29103', '31406', '35001', '35603', '35903', '38620', '38628', '38855', '38936', '39028', '39145', '40901', '44901', '45700', '48900', '49000', '55400', '60400', '15103', '15203', '5700', '5900', '36603', '83901', '84201', '84901', '85210', '85221', '85601', '90001', '91601', '93106', '93206', '93306', '93421', '93706', '96200', '96300', '96815', '101401', '101906', '102001', '103001', '6503', '7701', '7803', '8001', '8921', '9200', '12301', '12401', '12601', '16001', '16803', '16903', '17003', '17103', '17203', '17303', '17403', '19101', '19315', '19415', '20001', '20215', '20401', '20501', '20715', '23401', '25400', '25600', '26000', '26500', '27000', '27601', '29000', '29200', '29300', '34901', '35103', '37406', '39728', '41603', '41903', '44620', '44628', '44855', '44936', '45028', '45145', '51700', '54900', '55000', '61400', '66400']"
31,Disodium Cocoamphodiacetate,"['506', '17715', '21621', '28910', '6506', '23715', '27621', '34910']"
32,Cocamide DEA,"['510', '706', '1703', '2006', '2628', '3203', '3306', '3410', '3506', '3606', '4406', '4706', '5006', '10910', '11010', '11110', '11210', '11310', '11410', '12103', '12321', '12806', '13306', '13406', '13806', '14206', '14706', '15310', '16210', '16310', '16410', '16510', '16955', '17026', '17310', '17410', '17510', '19603', '20001', '20301', '20503', '20600', '21003', '21615', '22028', '22121', '23201', '23303', '28906', '29003', '29106', '30855', '30966', '33710', '33810', '33910', '34015', '34101', '34255', '34355', '35906', '39466', '39566', '39955', '40910', '43455', '43545', '43655', '43855', '43955', '44045', '44155', '44906', '45755', '49106', '49206', '49306', '49410', '59155', '6010', '62206', '62306', '62406', '74906', '75006', '75106', '79106', '79306', '84206', '84506', '84606', '84706', '92421', '95110', '95310', '96203', '96806', '97703', '97828', '101303', '101406', '101915', '102006', '103006', '103103', '6510', '6706', '7703', '8006', '8628', '9203', '9306', '9410', '9506', '9606', '10406', '10706', '16910', '17010', '17110', '17210', '17310', '17410', '18103', '18321', '19306', '19406', '20206', '20706', '21310', '22210', '22310', '22410', '22510', '22955', '23026', '23310', '23410', '23510', '25603', '26001', '26301', '26503', '26600', '27003', '27615', '28028', '28121', '29201', '29303', '34906', '35003', '35106', '36855', '36966', '39810', '39910', '40015', '40101', '40255', '40355', '41906', '45466', '45566', '45955', '49455', '49545', '49655', '49855', '49955', '50045', '50155', '51755', '55106', '55206', '55306', '55410', '65155']"
33,Chloroxylenol,"['521', '101900', '6521']"
34,Hydrolyzed Animal protein,"['528', '6528']"
35,Trisodium EDTA,"['536', '6536']"
36,Citric acid,"['545', '736', '1010', '1006', '1101', '1678', '1766', '1855', '2121', '2428', '5203', '5303', '5621', '6391', '6491', '6691', '6703', '6828', '8836', '8910', '9855', '10178', '10266', '11005', '11091', '11205', '11305', '11391', '11505', '12220', '12791', '12810', '13310', '13410', '13810', '14210', '14710', '15191', '16320', '16420', '16653', '16945', '17015', '17471', '17553', '17671', '17705', '17966', '19228', '19536', '19810', '20210', '20710', '21945', '22045', '22145', '23036', '23205', '23603', '23721', '24405', '24610', '24555', '24805', '27791', '27891', '28191', '28291', '29306', '29815', '29906', '30006', '30106', '30721', '30845', '30955', '31045', '31290', '31615', '31878', '32406', '33755', '33855', '33955', '34078', '34245', '34345', '34445', '34731', '35021', '36971', '37105', '37301', '37603', '38300', '38303', '38403', '38703', '39455', '39555', '39645', '39745', '39845', '39945', '40045', '40906', '42791', '42891', '43120', '43128', '43445', '43510', '43645', '43845', '43945', '44036', '44145', '45745', '45845', '46603', '47136', '47236', '47336', '48920', '49078', '49136', '49236', '49336', '49466', '53820', '53978', '56755', '56921', '58755', '58878', '59145', '59245', '59306', '60903', '62345', '62921', '65006', '71445', '77003', '77103', '77506', '77610', '62620', '5736', '5855', '6045', '6236', '6505', '6605', '36403', '62291', '62391', '62478', '74610', '77800', '78278', '78706', '78778', '78851', '78828', '79155', '79845', '82010', '82110', '82210', '82310', '82431', '83928', '84155', '84555', '84655', '84755', '84966', '85605', '85621', '86755', '87766', '89745', '89866', '90078', '90136', '90906', '91766', '92478', '92755', '92828', '92945', '93028', '94445', '94528', '94736', '95128', '95328', '96810', '96955', '97010', '97210', '97801', '98715', '99306', '99906', '101420', '101536', '102378', '102636', '103220', '6545', '7010', '7006', '7101', '7766', '7855', '8121', '8428', '11203', '11303', '11621', '12391', '12491', '12691', '12703', '12828', '14836', '14910', '16178', '16266', '17005', '17091', '17205', '17305', '17391', '17505', '18220', '18791', '19310', '19410', '20210', '20710', '21191', '22320', '22420', '22653', '22945', '23015', '23471', '23553', '23671', '23705', '23966', '25228', '25536', '25810', '26210', '26710', '27945', '28045', '28145', '29036', '29205', '29603', '29721', '30405', '30610', '30555', '30805', '33791', '33891', '34191', '34291', '35306', '35815', '35906', '36006', '36106', '36721', '36845', '36955', '37045', '37290', '37615', '37878', '38406', '39855', '39955', '40078', '40245', '40345', '40445', '40731', '42971', '43105', '43301', '43603', '44300', '44303', '44403', '44703', '45455', '45555', '45645', '45745', '45845', '45945', '46045', '48791', '48891', '49120', '49128', '49445', '49510', '49645', '49845', '49945', '50036', '50145', '51745', '51845', '52603', '53136', '53236', '53336', '54920', '55078', '55136', '55236', '55336', '55466', '59820', '59978', '62755', '62921', '64755', '64878', '65145', '65245', '65306', '66903', '68345', '68921', '71006', '72306', '77445', '83003', '83103', '83506', '83610']"
