3236,Salvia sclarea(clary sage)
3253,Lavender
3271,Mentha Piperita
3290,청색1호
3200,Sodium Laureth Sulfate
3201,TEA lauryl sulfate
3203,Cocamide DEA
3206,Methylchloroisothiazolinon
3210,Formalin
3215,Keratin
3221,Parfum
3228,Sodium chloride
3236,Hydrolysed gelatin
3245,Polyvinylpyrrolidone
3255,Aqua
3300,Lauryl sodium sulfate
3301,Cocamidopropyl Betaine
3303,Benzophenone-9
3306,Cocamide DEA
3310,파라옥시안식향산메칠
3315,Polyquaternium-7
3321,Salicylic acid
3328,Propylene glycol
3336,Green tea extract
3345,Titanium oxide
3355,조합향료
3366,자색 401호
3378,적색227호
3391,정제수
3400,Lauryl sodium sulfate
3401,Cocamidopropyl Betaine
3403,Benzophenone-9
3406,파라옥시안식향산메칠
3410,Cocamide DEA
3415,Polyquaternium-7
3421,Salicylic acid
3428,Propylene glycol
3436,Green tea extract
3445,Titanium oxide
3455,조합향료
3466,녹색3호
3478,황색4호
3491,자색 401호
3505,정제수
3500,Lauryl sodium sulfate
3501,Cocamidopropyl Betaine
3503,Benzophenone-9
3506,Cocamide DEA
3510,파라옥시안식향산메칠
3515,Polyquaternium-7
3521,Salicylic acid
3528,Propylene glycol
3536,Green tea extract
3545,Titanium oxide
3555,조합향료
3566,황색4호
3578,정제수
3600,Lauryl sodium sulfate
3601,Cocamidopropyl Betaine
3603,Benzophenone-9
3606,Cocamide DEA
3610,파라옥시안식향산메칠
3615,Polyquaternium-7
3621,Salicylic acid
3628,Propylene glycol
3636,Green tea extract
3645,조합향료
3655,정제수
3700,Ethanol
3701,Polyoxyethylene hydrogenated castor oil
3703,조합향료
3706,자색 401호
3710,적색227호
3715,정제수
3800,Ethanol
3801,Polyoxyethylene hydrogenated castor oil
3803,조합향료
3806,녹색3호
3810,황색4호
3815,자색 401호
3821,정제수
3900,Ethanol
3901,Polyoxyethylene hydrogenated castor oil
3903,조합향료
3906,정제수
3910,황색4호
4000,Ethanol
4001,Polyoxyethylene hydrogenated castor oil
4003,조합향료
4006,정제수
4100,Benzalkonium chloride
4101,Sodium chloride
4103,Butylene Glycol
4106,Boric acid
4110,Disodium EDTA
4115,Allantoin
4121,정제수
4200,Salicylic acid
4201,Beta-cyclodextrin
4203,Methyl chloro isothiazolinone/Methyl isothiazolinone
4206,Allantoin
4210,Ethanol
4215,정제수
4300,정제수
4301,Polymers
4303,Silk Aminoacids
4306,Polydimethylsiloxane
4310,Acrylate/Octylacrylamide Copolymer
4315,Polyether Copolymer
4321,Methyl paraben
4328,Fragrance
4400,정제수
4401,Sodium chloride
4403,Lauramide DEA
4406,Cocamide DEA
4410,Sodium lauryl ether sulfate
4415,Triethanolamine lauyrl sulfate
4421,Jojoba oil
4428,Polydimethylsiloxane
4436,Cocomidopropyl Betaine
4445,Polyether Copolymer
4455,Hydrolyzed wheat protein
4466,Methyl paraben
4478,Fragrance
4500,정제수
4501,Cetrimomium Chloride
4503,Alkyl ethoxy carboxylic acid
4506,Aloe Vera Gel
4510,Polydimethylsiloxane
4515,Methyl paraben
4521,Fragrance
4600,정제수
4601,Sodium lauryl ether sulfate
4603,Chamomile extract
4606,Aloe Vera Gel
4610,Eucalyptus essential oil
4615,Polydimethylsiloxane
4621,Methyl paraben
4700,정제수
4701,Sodium chloride
4703,Lauramide DEA
4706,Cocamide DEA
4710,Triethanolamine lauyrl sulfate
4715,Polydimethylsiloxane
4721,Sodium lauryl ether sulfate
4728,Polyether Copolymer
4736,Hydrolyzed wheat protein
4745,Methyl paraben
4755,Fragrance
4800,정제수
4801,Sodium chloride
4803,Lauramide DEA
4806,Sodium lauryl ether sulfate
4810,Triethanolamine lauyrl sulfate
4815,Chamomile extract
4821,Aloe Vera Gel
4828,Eucalyptus essential oil
4836,Polydimethylsiloxane
4845,Polyether Copolymer
4855,Cocomidopropyl Betaine
4866,Hydrolyzed wheat protein
4878,Methyl paraben
4891,Fragrance
4900,정제수
4901,Silk Aminoacids
4903,Glycerine
4906,Polydimethylsiloxane
4910,Homopolymer
4915,Polyether Copolymer
4921,Trymethyl ammonium chloride
4928,Triethanolamine salicylate
4936,Hydrolyzed wheat protein
4945,Methyl paraben
4955,Fragrance
5000,정제수
5001,Sodium chloride
5003,Lauramide DEA
5006,Cocamide DEA
5010,Triethanolamine lauyrl sulfate
5015,Chamomile extract
5021,Aloe
5028,Hops Extract
5036,Fragrance
5100,정제수
5101,Tea tree oil
5103,Jasmine
5106,Jojoba oil
5110,Vitamin E-acetate
5200,Watercress extract
5201,Hydroxy dimethyl pyrimidine
5203,Citric acid
5206,Vitamin E-acetate
5300,정제수
5301,Hydrolyaed Wheat Protein
5303,Citric acid
5306,Vitamin E-acetate
5310,Wheat germ oil
5315,Glycerine
5400,Glycerine
5401,Docusate sodium
5403,Acetanilide
5406,Propylene glycol
5410,Acetic acid
5415,Urea
5500,Dog Appeasing Pheromome
5600,Vitamin C sodium
5601,Vitamin B2 sodium phosphate
5603,Carboxylmethylcellulosesodium
5606,Disodium edetate
5610,Sodium pyrosulfite
5615,Sodium benzoate
5621,Citric acid
5628,정제수
5700,Salicylic acid
5701,Benzoic acid
5703,Malic acid
5706,Propylene glycol
5710,정제수
5900,Abbreviation
5901,Oleic acid
5903,BHT
5906,Abbreviation
5910,Surfonic N-95
5915,Glycerine
5921,tea
5928,Surfonic N-40
5936,DMDM Hydantoin
5945,Perfume
5955,Aloe vera
5966,Vitamin E
6000,Sodium polyoxyethylene laurylether sulfate
6001,Propylene glycol
6003,Ethanol
6006,Imidazolidinyl urea
6010,EDTA
6015,Sodium benzoate
6021,Potassium sorbate
6028,Camphor
6036,황색4호
6045,참숯 추출물
6055,정제수
6100,Guar hydroxypropyltrimethyl ammonium chloride
6101,Sodium polyoxyethylene laurylether sulfate
6103,Cocamidopropyl Betaine
6106,Lauramide DEA
6110,Propylene glycol
6115,Cethyl alcohol
6121,Glycerol Stearate
6128,Methyl chloro isothiazolinone/Methyl isothiazolinone
6136,Sorbitan oleate
6145,Stearic acid
6155,미리스틱산
6166,Potassium hydroxide
6178,Ethanol
6191,Crimbazole
6205,방부제
6220,Aloe extract powder
6236,Milk powder
6253,Polyquaternium-7
6271,조합향료
6290,정제수
6200,DMDM Hydantoin
6201,Ethanol
6203,Sodium lauryl sulfate
6206,Imidazolidinyl urea
6210,EDTA
6215,나노실버
6221,조합향료
6228,정제수
6300,정제수
6301,Sodium Laureth Sulfate
6303,Sodium lauryl sulfate
6306,Cocamidopropyl Betaine
6310,Lauramide DEA
6315,Panthenol
6321,Aloe barbaednsis gel
6328,Wheat Germ
6336,Sesame oil
6345,Polyquaternium-10
6355,Glycol stearate
6366,Stearamide AMP
6378,Tetrasodium EDTA
6391,Citric acid
6405,Methylchloroisothiazolinon
6420,Methylisothiazolinone
6436,Sodium chloride
6453,Fragrance
