id,name
41001,Sodium chloride
41003,Butylene Glycol
41006,Boric acid
41010,Disodium EDTA
41015,Allantoin
41021,정제수
42000,Salicylic acid
42001,Beta-cyclodextrin
42003,Methyl chloro isothiazolinone/Methyl isothiazolinone
42006,Allantoin
42010,Ethanol
42015,정제수
43000,정제수
43001,Polymers
43003,Silk Aminoacids
43006,Polydimethylsiloxane
43010,Acrylate/Octylacrylamide Copolymer
43015,Polyether Copolymer
43021,Methyl paraben
43028,Fragrance
44000,정제수
44001,Sodium chloride
44003,Lauramide DEA
44006,Cocamide DEA
44010,Sodium lauryl ether sulfate
44015,Triethanolamine lauyrl sulfate
44021,Jojoba oil
44028,Polydimethylsiloxane
44036,Cocomidopropyl Betaine
44045,Polyether Copolymer
44055,Hydrolyzed wheat protein
44066,Methyl paraben
44078,Fragrance
45000,정제수
45001,Cetrimomium Chloride
45003,Alkyl ethoxy carboxylic acid
45006,Aloe Vera Gel
45010,Polydimethylsiloxane
45015,Methyl paraben
45021,Fragrance
46000,정제수
46001,Sodium lauryl ether sulfate
46003,Chamomile extract
46006,Aloe Vera Gel
46010,Eucalyptus essential oil
46015,Polydimethylsiloxane
46021,Methyl paraben
47000,정제수
47001,Sodium chloride
47003,Lauramide DEA
47006,Cocamide DEA
47010,Triethanolamine lauyrl sulfate
47015,Polydimethylsiloxane
47021,Sodium lauryl ether sulfate
47028,Polyether Copolymer
47036,Hydrolyzed wheat protein
47045,Methyl paraben
47055,Fragrance
48000,정제수
48001,Sodium chloride
48003,Lauramide DEA
48006,Sodium lauryl ether sulfate
48010,Triethanolamine lauyrl sulfate
48015,Chamomile extract
48021,Aloe Vera Gel
48028,Eucalyptus essential oil
48036,Polydimethylsiloxane
48045,Polyether Copolymer
48055,Cocomidopropyl Betaine
48066,Hydrolyzed wheat protein
48078,Methyl paraben
48091,Fragrance
49000,정제수
49001,Silk Aminoacids
49003,Glycerine
49006,Polydimethylsiloxane
49010,Homopolymer
49015,Polyether Copolymer
49021,Trymethyl ammonium chloride
49028,Triethanolamine salicylate
49036,Hydrolyzed wheat protein
49045,Methyl paraben
49055,Fragrance
50000,정제수
50001,Sodium chloride
50003,Lauramide DEA
50006,Cocamide DEA
50010,Triethanolamine lauyrl sulfate
50015,Chamomile extract
50021,Aloe
50028,Hops Extract
50036,Fragrance
51000,정제수
51001,Tea tree oil
51003,Jasmine
51006,Jojoba oil
51010,Vitamin E-acetate
52000,Watercress extract
52001,Hydroxy dimethyl pyrimidine
52003,Citric acid
52006,Vitamin E-acetate
53000,정제수
53001,Hydrolyaed Wheat Protein
53003,Citric acid
53006,Vitamin E-acetate
53010,Wheat germ oil
53015,Glycerine
54000,Glycerine
54001,Docusate sodium
54003,Acetanilide
54006,Propylene glycol
54010,Acetic acid
54015,Urea
55000,Dog Appeasing Pheromome
56000,Vitamin C sodium
56001,Vitamin B2 sodium phosphate
56003,Carboxylmethylcellulosesodium
56006,Disodium edetate
56010,Sodium pyrosulfite
56015,Sodium benzoate
56021,Citric acid
56028,정제수
57000,Salicylic acid
57001,Benzoic acid
57003,Malic acid
57006,Propylene glycol
57010,정제수
59000,Abbreviation
59001,Oleic acid
59003,BHT
59006,Abbreviation
59010,Surfonic N-95
59015,Glycerine
59021,tea
59028,Surfonic N-40
59036,DMDM Hydantoin
59045,Perfume
59055,Aloe vera
59066,Vitamin E
60000,Sodium polyoxyethylene laurylether sulfate
60001,Propylene glycol
60003,Ethanol
60006,Imidazolidinyl urea
60010,EDTA
60015,Sodium benzoate
60021,Potassium sorbate
60028,Camphor
60036,황색4호
60045,참숯 추출물
60055,정제수
61000,Guar hydroxypropyltrimethyl ammonium chloride
61001,Sodium polyoxyethylene laurylether sulfate
61003,Cocamidopropyl Betaine
61006,Lauramide DEA
61010,Propylene glycol
61015,Cethyl alcohol
61021,Glycerol Stearate
61028,Methyl chloro isothiazolinone/Methyl isothiazolinone
61036,Sorbitan oleate
61045,Stearic acid
61055,미리스틱산
61066,Potassium hydroxide
61078,Ethanol
61091,Crimbazole
61105,방부제
61120,Aloe extract powder
61136,Milk powder
61153,Polyquaternium-7
61171,조합향료
61190,정제수
62000,DMDM Hydantoin
62001,Ethanol
62003,Sodium lauryl sulfate
62006,Imidazolidinyl urea
62010,EDTA
62015,나노실버
62021,조합향료
62028,정제수
63000,정제수
63001,Sodium Laureth Sulfate
63003,Sodium lauryl sulfate
63006,Cocamidopropyl Betaine
63010,Lauramide DEA
63015,Panthenol
63021,Aloe barbaednsis gel
63028,Wheat Germ
63036,Sesame oil
63045,Polyquaternium-10
63055,Glycol stearate
63066,Stearamide AMP
63078,Tetrasodium EDTA
63091,Citric acid
63105,Methylchloroisothiazolinon
63120,Methylisothiazolinone
63136,Sodium chloride
63153,Fragrance
63171,Blue colrant
64000,정제수
64001,Sodium Laureth Sulfate
64003,Sodium lauryl sulfate
64006,Cocamidopropyl Betaine
64010,Lauramide DEA
64015,Panthenol
64021,Aloe barbaednsis gel
64028,Wheat germ oil
64036,Sesame oil
64045,Polyquaternium-10
64055,Glycol stearate
64066,Stearamide AMP
64078,Tetrasodium EDTA
64091,Citric acid
64105,Methylchloroisothiazolinon
64120,Methylisothiazolinone
64136,Sodium chloride
64153,Fragrance
64171,Blue colrant
64190,Yellow 5(FD C Yellow No.6)
65000,Water
65001,Dicocoylethyl Hydroxyethlmonium Methosul
65003,Cocoglucoside
65006,Glyceryl oleate
65010,Polysorbate 20
65015,Propylene glycol
65021,Hydrolyaed Wheat Protein
65028,Tetrasodium EDTA
65036,DMDM Hydantoin
65045,Iodopropynyl butyl carbamate
65055,Fragrance
66000,정제수
66001,Sodium Laureth Sulfate
66003,Sodium lauryl sulfate
66006,Cocamidopropyl Betaine
66010,Lauramide DEA
66015,Panthenol
66021,Aloe barbaednsis gel
66028,Wheat Germ
66036,Sesame oil
66045,Polyquaternium-10
66055,Glycol stearate
66066,Stearamide AMP
66078,Tetrasodium EDTA
66091,Citric acid
66105,Methylchloroisothiazolinon
66120,Methylisothiazolinone
66136,Sodium chloride
66153,Fragrance
66171,Blue colrant
66190,Yellow 5(FD C Yellow No.6)
66210,Yellow 6
67000,정제수
67001,Chlorine Dioxide
67003,Citric acid
67006,Coenzyme Q10
67010,Vitamin C
67015,Sodium citrate
67021,Zinc Acetate
67028,Sodium hydroxide
67036,Chlorophyll
68000,정제수
68001,Chlorine Dioxide
68003,Xanthan gum
68006,Chamomilla recutita extract
68010,Aloe barbaednsis gel
68015,Chlorophyll
68021,Sodium hydroxide
68028,Citric acid
68036,Zinc Acetate
68045,Coenzyme Q10
68055,Vitamin C
68066,Peppermint essential oil
68078,Sodium citrate
69000,정제수
69001,Glyceryl monostearate
69003,Chlorine Dioxide
69006,Sodium hydroxide
69010,Coenzyme Q10
69015,Vitamin C
69021,Chlorophyll
70000,Cetylpyridinium chloride
70001,Ethanol
70003,EDTA
70006,Glycerine
70010,Polyoxyethylene hydrogenated castor oil
70015,Sodium benzoate
70021,Potassium sorbate
70028,Menthol
70036,Xylitol
70045,Allantoin
70055,조합향료
70066,나노실버
70078,청색1호
70091,황색4호
70105,정제수
71000,Propylene glycol
71001,Malic acid
71003,Benzoic acid
71006,Salicylic acid
71010,Lactic acid
71015,Cocamidopropyl Betaine
71021,EDTA
71028,Allantoin
71036,Sodium PCA
71045,Ethanol
71055,Polyoxyethylene hydrogenated castor oil
71066,Eucalyptus Globulus Leaf Oil
71078,나노실버
71091,정제수
72000,Sodium polyoxyethylene laurylether sulfate
72001,Propylene glycol
72003,Ethanol
72006,Imidazolidinyl urea
72010,EDTA
72015,Sodium benzoate
72021,Potassium sorbate
72028,Camphor
72036,황색4호
72045,나노실버
72055,정제수
73001,에탄올(KQC)
73005,디나트륨이디티에이(KQC)
73010,조합향료(별규)
73016,"나노실버(ICID, 은으로서 0.3mg)"
73023,정제수(KQC)
73031,벤조산나트륨(KQC)
73040,코카미도프로필베타인(KQC)
73050,폴리소르베이트60(KQC)
74001,에탄올(KQC)
74005,디나트륨이디티에이(KQC)
74010,조합향료(별규)
74016,"나노실버(ICID, 은으로서 0.3mg)"
74023,정제수(KQC)
74031,벤조산나트륨(KQC)
74040,코카미도프로필베타인(KQC)
74050,폴리소르베이트60(KQC)
75001,에탄올(KQC)
75006,조합향료(별규)
75012,"나노실버(ICID, 은으로서 0.3mg)"
75019,정제수(KQC)
75027,벤조산나트륨(KQC)
75036,디나트륨이디티에이(KQC)
75046,코카미도프로필베타인(KQC)
75057,폴리소르베이트60(KQC)
76000,Abbreviation
77000,Abbreviation
78000,Abbreviation
79000,Abbreviation
80000,정제수
80001,Ethylenediaminetetraacetic acid disodium salt
80003,Oat Flour
80006,Alcohol Ethoxy Sulfate
80010,Disodium laureth sufosuccinate
80015,Coconut fatty acid diethanolamine
80021,Methyl paraben
80028,Propyl paraben
80036,Fragrance
80045,Sodium chloride
80055,Dye
80066,Dye
80078,Protein
80091,DMDM Hydantoin
81000,정제수
81001,Hydroxyethyl cellulose
81003,Methyl paraben
81006,Propyl paraben
81010,Steralkonium chloride
81015,Alcohol Ethoxy Sulfate
81021,Lanoline
81028,Distyryl Biphenyl Derivative
81036,Sodium chloride
81045,Dye
81055,Dye
81066,DMDM Hydantoin
81078,Mineral oil
81091,Refatting Agent
81105,Pearlizer
82000,정제수
82001,Protein
82003,Hydroxyethyl cellulose
82006,Methyl paraben
82010,Propyl paraben
82015,Steralkonium chloride
82021,Cetearyl alcohol
82028,Lanoline
82036,Fragrance
82045,Refatting Agent
82055,Mineral oil
82066,DMDM Hydantoin
82078,Pearlizer
83000,"정제수(Deionized water, ICID)"
83001,"디메티콘코폴리올(Dimethicone copolyol, ICID)"
83003,"스테아라미도프로필다이메틸아민(Stearamidopropyl dimethylamine, ICID)"
83006,"아이소스테아레스-20(Isosteareth-20, ICID)"
83010,"쿼터늄-15(Quaternium 15, ICID)"
83015,"향료(Fragrance, ICID)"
84000,정제수
84001,Mineral oil
84003,Propylene glycol
84006,Oleth-10
84010,Hydrolyzed silk
84015,Oleth-5
84021,Octyl Methoxycinnamate
84028,Methyl paraben
84036,Propyl paraben
84045,Diazolidinyl urea
84055,Parfum
85000,정제수
85001,Sodium polyoxyethylene laurylether sulfate
85003,Propylene glycol
85006,Disodium EDTA
85010,Hydrolyzed silk
85015,Panthenol
85021,Polysorbate 20
85028,Vitamin E-acetate
85036,Lemon Grass Extract
85045,Sage extract
85055,Vitamin C
85066,Methyl paraben
85078,Propyl paraben
85091,Diazolidinyl urea
86000,정제수
86001,Dicetyidimonium Chloride
86003,Acetamide MEA
86006,Lactamide MEA
86010,Lauryl Pyrrolidone
86015,Panthenol
86021,Propylene glycol
86028,Diazolidinyl urea
86036,Methyl paraben
86045,Propyl paraben
86055,Methylisothiazolinone
86066,Algae extracts
86078,Aloe
86091,Lavender extract
86105,Parfum
87000,Sodium polyoxyethylene laurylether sulfate(KQC)
87001,Glycol distearate(KQC)
87004,Sodium lauryl sulfate solution(KQC)
87008,Cocamidopropyl Betaine(KQC)
87013,Citric acid(KQC)
87019,Sodium benzoate(KQC)
87026,Phenoxyethanol(KQC)
87034,Chlorhexidine Gluconate Solution(KP)
87043,Sage extract(KQC)
87053,Guar hydroxypropyltrimonium chloride(KQC)
87064,Carbomer(KQC)
87076,Aloe Vera Gel(KQC)
87089,Sodium hydroxide(KQC)
87103,Fragrance(HN-PT 1603)(별첨규격)
87118,Butylhydroxytoluene(KQC)
87134,Dimethicone and Laureth-23 and Laureth-3(ICID)
87151,Soluble Collagen(ICID)
87169,Green tea extract(KQC)
87188,PEG-7 Glyceryl Cocoate(ICID)
87210,Mulberry Root Extract(KQC)
87234,청색1호(식약처고시 제98-42호)
87259,황색4호(식약처고시 제98-42호)
87285,Sodium chloride(KQC)
87312,Water(KQC)
87340,Betaine(ICID)
88000,Ethanol
88001,Methyl paraben
88003,Imidazolidinyl urea
88006,Sodium polyoxyethylene laurylether sulfate
88010,Polysorbate 20
88015,Rosmarinus Officinalis
88021,Cyclodextrin
88028,Sodium Barcarbenate
88036,Citric acid
88045,Propylene glycol
88055,Matricaria chamomilla
88066,Hamamelis virginiana
88078,퍼니카그라나튬바크익스트랙트
88091,상백피추출물
88105,Dimethicone
88120,정제수
89000,Isopropanol
89001,Cyclodextrin
89003,PEG-40 hydrogenated castor oil
89006,Disodium edetate
89010,Citric acid
89015,조합향료
89021,정제수
90000,정제수
90001,Boric acid
90003,Propylene glycol
90006,Glycerine
90010,Polysorbate 20
90015,Acetic acid
90021,Tromethamine
90028,Fragrance
91000,Water (Aqua)
91001,Boric acid
91003,Propylene glycol
91006,Glycerine
91010,Polysorbate 20
91015,Acetic acid
91021,Trolamine NF
91028,Peach Fragrance
92000,정제수
92001,SD alcohol
92003,Sorbitol
92006,PVM/MA Decadiene Crosspolymer
92010,Acetic acid
92015,C11-15 Pareth 12
92021,Flavor
92028,Methyl paraben
92036,Tromethamine
92045,Sodium benzoate
92055,Sodium hexametaphosphate
93000,정제수
93001,Alcohol
93003,Sorbitol
93006,C11-15 Pareth 12
93010,Acetic acid
93015,Flavor
93021,Methyl paraben
93028,Sodium benzoate
93036,Tromethamine
93045,Sodium hexametaphosphate
94000,Disodium edetate
94001,Tromethamine
94003,Distilled water
94006,Tromethamine
95000,Disodium edetate
95001,Tromethamine
95003,Tromethamine
95006,Deionized water
96000,정제수
96001,Glycerine
96003,Aloe Vera Gel
96006,Silicone
96010,Catemol
96015,Apple fragrance
96021,Sodium lactate
96028,Safflower oil
96036,Kathon CG
96045,Boric acid
96055,Acetic acid
97000,정제수
97001,Sodium Laureth Sulfate
97003,Cocamidopropyl Betaine
97006,Boric acid
97010,Acetic acid
97015,Sodium chloride
97021,Apple fragrance
97028,Glydant
98000,정제수
98001,Methocel
98003,Glucamate
98006,Bio-Terge AS-40
98010,Lauramide DEA
98015,Cocamidopropyl Betaine
98021,Glycerine
98028,Safflower oil
98036,Kathon CG
98045,Sodium lactate
98055,Citric acid
98066,Colloidal Oatmeal
99000,정제수
99001,Glycerine
99003,Aloe
99006,Silicone
99010,Catemol
99015,Fragrance
99021,Sodium lactate
99028,Safflower oil
99036,Kathon CG
99045,Colloidal Oatmeal
100000,정제수
100001,Sodium Laureth Sulfate
100003,Cocamidopropyl Betaine
100006,Sodium chloride
100010,Fragrance
100015,Sulfur
100021,Salicylic acid
100028,Coconut
100036,Tromethamine
101000,Water (Aqua)
101001,Mg Al Silicate NF
101003,Methocel
101006,Benzoyl peroxide
101010,Sulfur
101015,Salicylic acid
101021,Tocopheryl Acetate
101028,Laureth-12
101036,Bioterge AS-40
101045,Ammonium lauryl sulfate
101055,Linoleamide
101066,Fragrance
101078,Citric acid
101091,Salt
102000,정제수
102001,Methocel
102003,Glucamate
102006,AOS40
102010,Lauramide DEA
102015,Cocamidopropyl Betaine
102021,Glycerine
102028,Safflower oil
102036,Coconut
102045,Kathon CG
102055,Sodium lactate
102066,Citric acid
102078,Salt
103000,Betaine(ICID)
103001,Carbomer(KQC)
103003,Guar hydroxypropyltrimonium chloride(KQC)
103006,Sodium polyoxyethylene laurylether sulfate(KQC)
103010,Cocamidopropyl Betaine(KQC)
103015,Citric acid(KQC)
103021,Sodium lauryl sulfate solution(KQC)
103028,Glycol distearate(KQC)
103036,Sodium hydroxide(KQC)
103045,Dimethicone and Laureth-23 and Laureth-3(ICID)
103055,PEG-7 Glyceryl Cocoate(ICID)
103066,Sodium benzoate(KQC)
103078,Phenoxyethanol(KQC)
103091,Chlorhexidine Gluconate solution(KP)
103105,황색4호(식약처고시 제98-42호)
103120,청색1호(식약처고시 제98-42호)
103136,Fragrance(HN-PT 00867호)(별첨규격)
103153,Butylhydroxytoluene(KQC)
103171,Soluble Collagen(ICID)
103190,Green tea extract(KQC)
103210,Sage extract(KQC)
103231,Aloe Vera Gel(KQC)
103253,Mulberry Root Extract(KQC)
103276,Sodium chloride(KQC)
103300,Water(KQC)
103325,Avena Sativa (Oat) Meal Extract(ICID)
103351,Portulaca Oleracea Extract(ICID)
103378,Betula Platyphylla Japonica Juice(ICID)
104000,Polysorbate 20(KQC)
104001,Alcohol(KQC)
104003,Triclosan(KP)
104006,Triethanolamine(KQC)
104010,Carbomer(KQC)
104015,Glycerine(KQC)
104021,Green tea extract(KQC)
104028,Sage extract(KQC)
104036,Punica granatum bark extract(ICID)
104045,Aloe Vera Gel(KQC)
104055,Mulberry Root Extract(KQC)
104066,"Fragrance(HN-PT 1156,별규)"
104078,황색 4호(식약처고시 제98-42호)
104091,황색5호
104105,Water(KQC)
104121,Methylparben(KQC)
105000,정제수
105001,Hydrolyaed Wheat Protein
105003,Colloidal Oatmeal
105006,Vitamin E-acetate
108000,Polyquaternium-7
108001,Ammonium Lauryl Sulfate Solution
108003,Sodium Laureth Sulfate
108006,Cocamidopropyl Betaine
108010,Guar hydroxypropyltrimethyl ammonium chloride
108015,Hydroxyethyl cellulose
108021,Povidone iodine
108028,Disodium edetate
108036,Methyl chloro isothiazolinone/Methyl isothiazolinone
108045,Methyl parahydroxybenzoate
108055,Vitamin E
108066,Hydrolyzed keratin protein
108078,비스 피지 아모디메치콘
108091,Triethanolamine
108105,Pinus Pumilio Leaf Extract(솔잎 추출물)
108120,조합향료
108136,정제수
109000,Polyquaternium-10
109001,Ammonium Lauryl Sulfate Solution
109003,Sodium Laureth Sulfate
